cellID	cluster	color
B1_cell536	2	#CCFF00FF
B1_cell537	2	#CCFF00FF
B1_cell538	5	#CC00FFFF
B1_cell539	2	#CCFF00FF
B1_cell540	2	#CCFF00FF
B1_cell541	5	#CC00FFFF
B1_cell542	5	#CC00FFFF
B1_cell543	5	#CC00FFFF
B1_cell544	4	#0066FFFF
B1_cell545	1	#FF0000FF
B1_cell546	2	#CCFF00FF
B1_cell547	3	#00FF66FF
B1_cell548	5	#CC00FFFF
B1_cell549	3	#00FF66FF
B1_cell550	4	#0066FFFF
B1_cell551	4	#0066FFFF
B1_cell552	5	#CC00FFFF
B1_cell553	5	#CC00FFFF
B1_cell554	3	#00FF66FF
B1_cell555	5	#CC00FFFF
B1_cell556	3	#00FF66FF
B1_cell557	5	#CC00FFFF
B1_cell558	5	#CC00FFFF
B1_cell559	3	#00FF66FF
B1_cell560	4	#0066FFFF
B1_cell561	2	#CCFF00FF
B1_cell562	4	#0066FFFF
B1_cell563	4	#0066FFFF
B1_cell564	2	#CCFF00FF
B1_cell565	3	#00FF66FF
B1_cell566	2	#CCFF00FF
B1_cell567	3	#00FF66FF
B1_cell568	4	#0066FFFF
B1_cell569	4	#0066FFFF
B1_cell570	2	#CCFF00FF
B1_cell571	5	#CC00FFFF
B1_cell572	3	#00FF66FF
B1_cell573	2	#CCFF00FF
B1_cell574	5	#CC00FFFF
B1_cell575	5	#CC00FFFF
B1_cell576	4	#0066FFFF
B1_cell577	4	#0066FFFF
B1_cell578	3	#00FF66FF
B1_cell579	5	#CC00FFFF
B1_cell580	3	#00FF66FF
B1_cell581	1	#FF0000FF
B1_cell582	4	#0066FFFF
B1_cell583	3	#00FF66FF
B1_cell584	3	#00FF66FF
B1_cell585	2	#CCFF00FF
B1_cell586	3	#00FF66FF
B1_cell587	2	#CCFF00FF
B1_cell588	3	#00FF66FF
B1_cell589	4	#0066FFFF
B1_cell590	2	#CCFF00FF
B1_cell591	3	#00FF66FF
B1_cell592	2	#CCFF00FF
